# Generated by mat-a11y - do not edit
# traufix.de | freelancermap.de/profil/robin-spanier
URL,Score,Status,IssueCount,Priority,TopIssue
PersonalityMatrixQuiz,89,warning,1,3,contentOverflow
ComparisonTableComponent,94,passing,1,3,contentOverflow
MadLibsGeneratorComponent,95,passing,1,3,contentOverflow
VisualDiffSliderComponent,95,passing,1,3,contentOverflow
Invitations,87,warning,1,3,contentOverflow
GuideLanding,83,warning,1,3,contentOverflow
GuideLink,95,passing,1,3,contentOverflow
GuideLoaderComponent,92,passing,1,3,contentOverflow
LegalPage,92,passing,1,3,innerHtmlUsage
DecisionTree,95,passing,0,0,
